city_income
"Winnetka – $98,139"
"Kenilworth – $97,381"
"Glencoe – $94,900"
"Inverness – $91,623"
"Barrington Hills – $91,555"
"Lake Forest – $86,004"
"Oak Brook – $81,213"
"Rapids City, Illinois – $24,499"
"Roanoke, Illinois – $24,489"
"Port Byron, Illinois – $24,363"
"Wilmington, Illinois – $24,357"
"Glenwood, Illinois – $24,356"
"Fox Lake, Illinois – $24,350"
"Berkeley, Illinois – $24,334"
"Brookfield, Illinois – $24,307"
"Panola, Illinois – $24,259"
"Winthrop Harbor, Illinois – $24,256"
"Washington, Illinois – $24,231"
"Island Lake, Illinois – $24,206"
"Des Plaines, Illinois – $24,146"
"Highwood, Illinois – $24,138"
"Rockton, Illinois – $24,078"
"North Riverside, Illinois – $24,034"
"Hennepin, Illinois – $23,981"
"Streamwood, Illinois – $23,961"
"Oak Lawn, Illinois – $23,877"
"Beach Park, Illinois – $23,803"
"Hickory Hills, Illinois – $23,747"
"Cherry Valley, Illinois – $23,725"
"Coal City, Illinois – $23,662"
"Niles, Illinois – $23,543"
"Venetian Village, Illinois – $23,504"
"Hinckley, Illinois – $23,491"
"Oak Forest, Illinois – $23,487"
"Bolingbrook, Illinois – $23,468"
"Beecher, Illinois – $23,454"
"Norridge, Illinois – $23,431"
"Peotone, Illinois – $23,415"
"Lake Catherine, Illinois – $23,401"
"Pingree Grove, Illinois – $23,396"
"Montgomery, Illinois – $23,395"
"Jerome, Illinois – $23,350"
"Springfield, Illinois – $23,324"
"McHenry, Illinois – $23,272"
"Monticello, Illinois – $23,257"
"Woodstock, Illinois – $23,210"
"Chatham, Illinois – $23,167"
"Long Creek, Illinois – $23,141"
"Sycamore, Illinois – $23,112"
"North Utica, Illinois – $23,061"
"Evergreen Park, Illinois – $23,038"
"Mineral, Illinois – $23,017"
"Sublette, Illinois – $22,982"
"New Millford, Illinois – $22,937"
"Thornton, Illinois – $22,899"
"Bedford Park, Illinois – $22,887"
"Channahon, Illinois – $22,867"
"Standard City, Illinois – $22,852"
